,category,Blood,Credit-G,Diabetes,QSAR-Fish,Airfoil,Concrete,Insurance,Anneal
metric,,roc_auc,roc_auc,roc_auc,rmse,rmse,rmse,rmse,log_loss
CAT,ML,0.7107894736842105,0.7927350427350429,0.8335341365461848,0.9169135943553836,1.4743257730979937,4.479989948836688,4089.2521585967734,0.04721400587739318
EBM,ML,0.7082456140350877,0.7912820512820513,0.8425702811244979,0.9456287726391835,1.9173663355495552,4.428036811524854,4180.362861666773,0.07275742673584468
KNN,ML,0.6749999999999999,0.767948717948718,0.8175368139223562,0.9470259228582849,3.2473637575363417,8.986232450905673,5097.162999758122,0.18054473476045046
LR,ML,0.7310526315789474,0.7663675213675214,0.822289156626506,0.9779810035849538,5.424097983642563,8.079074721109023,5575.862768468926,0.10165076885028021
REALMLP_GPU,DL,0.7450000000000001,0.7896153846153846,0.8500669344042837,0.902031865224557,1.1261888658361736,5.013467964220634,4169.775918222015,0.03160915622542364
REALTABPFN-V2.5,Foundation,0.7444298245614036,0.7849145299145298,0.8486947791164658,0.9021697485200404,0.9770421145051592,3.816273829391835,4075.862737431688,0.01724696349112164
LLMAdapter260423-bidir,,0.7439473684210527,0.7861111111111111,0.843908969210174,0.9903969756703856,1.568359753399226,4.981101921838656,4092.852966195559,0.14564955109676342
LLMSlot260424-next_token_pred,,0.7196491228070175,0.7777777777777778,0.8305890227576975,0.9497885097258855,1.1229090443061462,4.504521063999555,4097.925095529851,
MITRA_GPU,,0.7220175438596491,0.7785470085470085,0.8392235609103079,0.9012402148282606,1.0591131919058265,4.329742394231109,4032.357647014834,0.02933883162895879
TABICLV2,,0.7451754385964913,0.7885897435897437,0.8451807228915663,0.894265712135384,1.015387772184129,3.6729471916148135,4042.4652260759326,0.033034431782149175
TABICL_GPU,,0.7026315789473685,0.7814102564102565,0.838219544846051,0.938418407690184,1.7727015604892042,5.50373270046845,4520.752203125408,0.042555178904666896
FTTransformer,DL,0.7264912280701754,0.7690598290598291,0.828380187416332,1.2398653728130447,6.214391184581335,12.285288531686305,5202.08276842444,0.04965282135798628
