dataset,tid,metric,metric_error,metric_error_val,batch_size,lora_alpha,lora_dropout,lora_lr,lora_rank,lr,num_buckets,token_dim,num_epochs,weight_decay
Another-Dataset-on-used-Fiat-500,363615,rmse,1118.1978896207333,1241.853308672599,256,32,0.1,0.0001,8,0.001,,,200.0,1e-05
QSAR_fish_toxicity,363698,rmse,1.4555782381785167,1.4380036519347634,256,32,0.1,0.0001,8,0.001,,,200.0,1e-05
airfoil_self_noise,363612,rmse,5.761499632345717,6.216767451788823,256,32,0.1,0.0001,8,0.001,,,200.0,1e-05
concrete_compressive_strength,363625,rmse,15.082401685344706,15.32376022481436,128,32,0.05,0.0004093734644841741,4,0.0025612558727762763,64.0,64.0,,
healthcare_insurance_expenses,363675,rmse,5558.933237566671,7591.78183073254,256,32,0.1,0.0001,8,0.001,,,200.0,1e-05
houses,363678,rmse,0.4266490977901099,0.4464410754484024,256,32,0.1,0.0001,8,0.001,,,200.0,1e-05
miami_housing,363686,rmse,164223.04408270444,178325.55798173824,128,32,0.05,0.0004093734644841741,4,0.0025612558727762763,64.0,64.0,,
wine_quality,363708,rmse,0.8009641170501709,0.8616306185722351,256,32,0.1,0.0001,8,0.001,,,200.0,1e-05
