method,elo,elo+,elo-,rank,winrate,improvability,improvability+,improvability-,mrr,rank=1_count,rank=2_count,rank=3_count,rank>3_count,time_train_s,time_infer_s,time_train_s_per_1K,time_infer_s_per_1K,normalized-error,normalized-error-task,imputed,median_rank,median_improvability,median_loss_rescaled,median_metric_error,median_time_train_s,median_time_infer_s,median_time_train_s_per_1K,median_time_infer_s_per_1K,median_normalized-error,median_normalized-error-task,median_imputed,method_type,method_subtype,config_type,ta_name,ta_suite
LLMRead260420-LLMRead-GradClip (tuned),1313.1,3820.7,10368.0,42.0,0.44594595,0.24973132805505016,0.07376188034647213,0.07376188034647213,0.02729044834307992,0.0,0.0,0.0,2.0,14700.221082925797,23.02676522731781,20611.086574447025,70.78567621491933,0.8360560410794957,0.8360560410794957,0.0,42.0,0.24973132805505016,0.15924264289340845,0.7859818987787464,14700.221082925797,23.02676522731781,20611.086574447025,70.78567621491933,0.8360560410794957,0.8360560410794957,0.0,hpo,tuned,LLMRead260420-LLMRead-GradClip,LLMRead260420-LLMRead-GradClip,260420-LLMRead-GradClip
LLMBaselineBidirectionalPooling (default),1302.9,3288.2,5878.3,42.75,0.4358108,0.313337053296956,0.20071446550828181,0.20071446550828181,0.024970794392523366,0.0,0.0,0.0,2.0,230.48771572113037,7.205923676490784,461.0797786085699,28.86395248514639,0.9198113207547158,0.9198113207547158,0.5,42.75,0.313337053296956,0.15689174607011092,1.0249911311217952,230.48771572113037,7.205923676490784,461.0797786085699,28.86395248514639,0.9198113207547158,0.9198113207547158,0.5,config,default,LLMBaselineBidirectionalPooling,LLMBaselineBidirectionalPooling,LLMBaselineBidirectionalPooling
FASTAI (default),1292.7,8126.3,9871.8,43.5,0.4256757,0.3633039116086933,0.2640746245181345,0.2640746245181345,0.029551630434782608,0.0,0.0,0.0,2.0,6.552024602890015,0.2686702013015747,9.661288156632958,0.6276485600765169,0.8643867924528305,0.8643867924528305,0.0,43.5,0.3633039116086933,0.1977750525772013,1.2924995188475235,6.552024602890015,0.2686702013015747,9.661288156632958,0.6276485600765169,0.8643867924528305,0.8643867924528305,0.0,config,default,FASTAI,NeuralNetFastAI,tabarena-2025-06-12
LR (default),1292.7,13577.5,16081.5,43.5,0.4256757,0.46315485544584334,0.3780276538802859,0.3780276538802859,0.04256360078277886,0.0,0.0,0.0,2.0,5.656907320022583,0.05511772632598877,7.557978672466447,0.1435327291391177,0.8077830188679237,0.8077830188679237,0.0,43.5,0.46315485544584334,0.4788024875733809,2.8465226760318076,5.656907320022583,0.05511772632598877,7.557978672466447,0.1435327291391177,0.8077830188679237,0.8077830188679237,0.0,config,default,LR,LinearModel,tabarena-2025-10-20
XGB (tuned + ensemble),1279.1,2246.2,10933.4,44.5,0.41216215,0.26268891568382313,0.08118906158402739,0.08118906158402739,0.02474972191323693,0.0,0.0,0.0,2.0,1225.551267504692,5.956569790840149,1627.767421372563,12.358570412502624,0.8683311499597987,0.8683311499597987,0.0,44.5,0.26268891568382313,0.1675750568837843,0.8067715173515291,1225.551267504692,5.956569790840149,1627.767421372563,12.358570412502624,0.8683311499597987,0.8683311499597987,0.0,hpo,tuned_ensemble,XGB,XGBoost,tabarena-2025-06-12
LLMBaselineBidirectional (tuned),1275.7,1200.6,5851.0,44.75,0.4087838,0.31847041231068646,0.19558110649455135,0.19558110649455135,0.023234683281412254,0.0,0.0,0.0,2.0,2558.5157902240753,6.495488405227661,5126.466701460164,26.01079878529449,0.9634433962264154,0.9634433962264154,0.5,44.75,0.31847041231068646,0.16435142348946602,1.0266139381393389,2558.5157902240753,6.495488405227661,5126.466701460164,26.01079878529449,0.9634433962264154,0.9634433962264154,0.5,hpo,tuned,LLMBaselineBidirectional,LLMBaselineBidirectional,LLMBaselineBidirectional
LLMRead260420-LLMRead-GradClip (tuned + ensemble),1272.3,3394.5,13380.1,45.0,0.4054054,0.27191118517196255,0.06383665101047198,0.06383665101047198,0.025921658986175114,0.0,0.0,0.0,2.0,14700.221082925797,125.63301837444305,20611.086574447025,414.3833182056042,0.8552212556721284,0.8552212556721284,0.0,45.0,0.27191118517196255,0.18925953209066895,0.8037805533422239,14700.221082925797,125.63301837444305,20611.086574447025,414.3833182056042,0.8552212556721284,0.8552212556721284,0.0,hpo,tuned_ensemble,LLMRead260420-LLMRead-GradClip,LLMRead260420-LLMRead-GradClip,260420-LLMRead-GradClip
LLMBaselineBidirectional (tuned + ensemble),1262.0,168.5,5837.4,45.75,0.39527026,0.3226807609510859,0.19137075785415192,0.19137075785415192,0.02250368912936547,0.0,0.0,0.0,2.0,2558.5157902240753,18.431475162506104,5126.466701460164,73.94648857356133,1.0,1.0,0.5,45.75,0.3226807609510859,0.17060142348946594,1.027973587262146,2558.5157902240753,18.431475162506104,5126.466701460164,73.94648857356133,1.0,1.0,0.5,hpo,tuned_ensemble,LLMBaselineBidirectional,LLMBaselineBidirectional,LLMBaselineBidirectional
LLMRead260420-LLMRead-GradClip (default),1258.6,1879.6,12105.6,46.0,0.3918919,0.2669449314661187,0.08022414283173179,0.08022414283173179,0.02395833333333333,0.0,0.0,0.0,2.0,1999.9429441690445,28.88500475883484,2467.5708478551173,83.08840572577438,0.8737309049256317,0.8737309049256317,0.0,46.0,0.2669449314661187,0.17262878212343072,0.8110458444907469,1999.9429441690445,28.88500475883484,2467.5708478551173,83.08840572577438,0.8737309049256317,0.8737309049256317,0.0,config,default,LLMRead260420-LLMRead-GradClip,LLMRead260420-LLMRead-GradClip,260420-LLMRead-GradClip
EBM (tuned),1231.1,1805.6,7717.8,48.0,0.36486486,0.3298123111600537,0.21077964784347114,0.21077964784347114,0.022482435597189696,0.0,0.0,0.0,2.0,4931.071117281914,0.013334393501281738,5759.575422422869,0.042396041476198756,0.9469339622641499,0.9469339622641499,0.0,48.0,0.3298123111600537,0.17109465856370304,1.0772052320370724,4931.071117281914,0.013334393501281738,5759.575422422869,0.042396041476198756,0.9469339622641499,0.9469339622641499,0.0,hpo,tuned,EBM,ExplainableBM,tabarena-2025-09-03
