,category,Blood,Credit-G,Diabetes,QSAR-Fish,Airfoil,Concrete,Insurance,Phishing,ELO
metric,,roc_auc,roc_auc,roc_auc,rmse,rmse,rmse,rmse,log_loss,
task_id,,363621,363626,363629,363698,363612,363625,363675,363707,
CAT,ML,0.7050877192982457,0.7838034188034187,0.8376171352074967,0.9170500156250383,1.1912702718003423,4.333585714498188,4075.95781501091,0.2096628570755173,1401.2
EBM,ML,0.720701754385965,0.7799572649572649,0.8536144578313253,0.9338630759696042,1.8751122184601097,4.3791586681933,4036.8570231296108,0.23986025154590607,1354.0
GBM,ML,0.7157894736842105,0.7777777777777778,0.8353413654618473,0.9226082564792453,1.387637675978781,4.3673334678741815,4122.501833344633,0.231650124226522,1288.8
KNN,ML,0.6987719298245614,0.7601709401709402,0.8142570281124498,0.9471641989379048,2.553026758666722,6.260830250399818,4630.235613436097,0.368958055973053,847.0
LR,ML,0.748859649122807,0.7652136752136752,0.8262382864792504,0.97713369662337,4.7521850275766075,7.9501029449478455,5585.882360476944,0.33630067110061646,979.2
RF,ML,0.6749122807017544,0.7783333333333333,0.8239290495314592,0.920056349140093,1.7727015604892042,5.50373270046845,4289.116217210034,0.25568626948547096,1067.3
XGB,ML,0.7040350877192982,0.7816666666666666,0.8228915662650602,0.9136282735981752,1.3029304493781608,4.271255724134107,4137.510116549243,0.23096497115564346,1291.0
XT,ML,0.6811403508771929,0.7638888888888888,0.8404283801874163,0.905459028966759,1.7070150389205543,5.212221902799439,4131.086950546212,0.2377492574289928,1184.8
FASTAI,DL,0.7437719298245614,0.7460256410256411,0.8416331994645248,0.9462138320385582,1.5302536185802997,5.204748498170599,4165.877969169726,0.24296201463647907,1204.0
MNCA_GPU,DL,0.6900877192982456,0.7693589743589744,0.8275769745649264,0.9425235469382216,1.40208685318452,5.750049206465128,4147.3356749873055,0.2285486900959998,1138.9
NN_TORCH,DL,0.7418421052631579,0.767991452991453,0.8333333333333334,0.9401469683526422,1.24910343833217,4.350427102095671,4149.197832312457,0.22878672559218163,1298.2
REALMLP_GPU,DL,0.7248245614035088,0.7967094017094017,0.8390227576974565,0.9277910670743514,1.0574588562226745,4.1443805956176565,4053.78243177254,0.21098873019218445,1519.4
TABM_GPU,DL,0.7150877192982457,0.7885470085470085,0.8226907630522088,0.9155270426401956,0.9851177684571369,4.389217330636611,4119.4993828019915,0.22117249998760877,1381.9
XRFM_GPU,DL,0.7228947368421053,0.7742307692307693,0.8427041499330656,0.9051661402310825,1.1778388854329223,4.401057216637763,4164.471571090113,0.24711748957633972,1331.1
REALTABPFN-V2.5,Foundation,0.7272368421052632,0.7849145299145299,0.84190093708166,0.897436572997375,0.904754868538982,3.757035054282707,4101.051858354645,0.20871952774475078,1618.8
TABDPT_GPU,Foundation,0.7281140350877193,0.7652777777777777,0.8426706827309237,0.8997330162608862,0.9867752054046761,4.048292681068601,4098.722576870162,0.21258257422356566,1490.3
TABPFNV2_GPU,Foundation,0.7240350877192983,0.772051282051282,0.8396921017402945,0.9093026428541026,0.9659417311494658,4.0663573897618885,4258.5479623916735,0.21386199246588364,1413.0
FTTransformer,DL,0.7185087719298245,0.7801282051282051,0.8208835341365461,1.044015876783817,2.8391759048295855,6.24354772675397,4393.419627855666,0.22404385911772037,1069.8
LLMAdapter260421-3,LLM,0.7070175438596491,0.7945726495726496,0.8420348058902276,0.9469733625251914,1.0438932030192762,4.770511234220386,4051.1327307405077,,1334.0
LLMAdapter260423-bidir,LLM,0.7312280701754386,0.7873076923076923,0.8346050870147256,0.9495186145690804,1.0740783169526698,4.600627053205285,4051.31223515784,,1335.5
LLMAdapter260429-LA-Bidir,LLM,0.7113157894736842,0.7778632478632479,0.828714859437751,0.9346928978138613,1.0639501652224248,4.582767759506362,4024.4566516275495,0.22806623522472513,1336.2
LLMBaseline,LLM,0.710701754385965,0.8037179487179488,0.7922021419009371,1.377322526120282,,7.720128989237772,5885.299005555479,0.2403135112802993,1040.2
LLMBaseline260429-LB-Bidir,LLM,0.6815789473684211,0.7851709401709401,0.8009370816599732,1.040554247101543,2.464171059043274,7.322657469038752,4291.811304485487,0.2880970676992388,981.1
LLMBaselineBidirectional260426-BaselineBidir,LLM,0.6734210526315789,0.7567948717948718,0.7977911646586345,1.0087522714138428,1.5983596291552393,4.798822955372686,4355.697470051612,,906.1
LLMSlot260424-next_token_pred,LLM,0.7217543859649123,0.782094017094017,0.8400267737617135,0.9503314232683908,1.0499431597540825,4.777177153786393,4097.925093318104,0.24431840065313445,1314.2
