Dataset,tid,model,metric,metric_error,metric_error_val
Is-this-a-good-customer,363682,CAT (tuned + ensemble),roc_auc,0.25971899744001903,0.2051911742481487
MIC,363711,CAT (tuned + ensemble),log_loss,0.4571157959426395,0.4406814678036725
Marketing_Campaign,363684,CAT (tuned + ensemble),roc_auc,0.07019519519519524,0.09690688888104237
NATICUSdroid,363689,CAT (tuned + ensemble),roc_auc,0.014082461639109423,0.013255768892020403
QSAR-TID-11,363697,CAT (tuned + ensemble),rmse,0.843963844327239,0.7421923424273279
QSAR_fish_toxicity,363698,CAT (tuned + ensemble),rmse,0.9108357993477078,0.8195526593201499
SDSS17,363699,CAT (tuned + ensemble),log_loss,0.07303144923272453,0.07459236898089923
airfoil_self_noise,363612,CAT (tuned + ensemble),rmse,1.194328921266466,1.4937201224379428
anneal,363614,CAT (tuned + ensemble),log_loss,0.028524514184980122,0.016819300979287747
bank-marketing,363618,CAT (tuned + ensemble),roc_auc,0.2249453627234912,0.23725107939001988
blood-transfusion-service-center,363621,CAT (tuned + ensemble),roc_auc,0.29219298245614034,0.2229817127564674
churn,363623,CAT (tuned + ensemble),roc_auc,0.06603477478117703,0.07235560481364267
coil2000_insurance_policies,363624,CAT (tuned + ensemble),roc_auc,0.25433998717532336,0.2195899537548388
concrete_compressive_strength,363625,CAT (tuned + ensemble),rmse,4.349307405056239,4.17529100141456
credit-g,363626,CAT (tuned + ensemble),roc_auc,0.20863247863247858,0.16036480686695276
credit_card_clients_default,363627,CAT (tuned + ensemble),roc_auc,0.20993648015075816,0.21704074828571984
customer_satisfaction_in_airline,363628,CAT (tuned + ensemble),roc_auc,0.005154591635216921,0.005216956603720901
diabetes,363629,CAT (tuned + ensemble),roc_auc,0.16077643908969208,0.1459664939783355
diamonds,363631,CAT (tuned + ensemble),rmse,529.6374568995401,531.0208269158829
hazelnut-spread-contaminant-detection,363674,CAT (tuned + ensemble),roc_auc,0.03334999999999999,0.026206249999999986
healthcare_insurance_expenses,363675,CAT (tuned + ensemble),rmse,4099.415070640934,4674.911454031142
heloc,363676,CAT (tuned + ensemble),roc_auc,0.20107961924098694,0.19624740709850041
hiva_agnostic,363677,CAT (tuned + ensemble),log_loss,0.1763974542663265,0.1735913241835468
houses,363678,CAT (tuned + ensemble),rmse,0.2123891618725666,0.20876672267921487
in_vehicle_coupon_recommendation,363681,CAT (tuned + ensemble),roc_auc,0.1471691688924891,0.1590643544883964
jm1,363712,CAT (tuned + ensemble),roc_auc,0.24076239783448528,0.24808920368130893
kddcup09_appetency,363683,CAT (tuned + ensemble),roc_auc,0.1606868933686283,0.14659703257614543
maternal_health_risk,363685,CAT (tuned + ensemble),log_loss,0.423541489234404,0.4316307399406243
miami_housing,363686,CAT (tuned + ensemble),rmse,79477.70041812025,81377.02300153415
online_shoppers_intention,363691,CAT (tuned + ensemble),roc_auc,0.07282037634466998,0.06217724072444719
physiochemical_protein,363693,CAT (tuned + ensemble),rmse,3.4175840225037404,3.416179026419873
polish_companies_bankruptcy,363694,CAT (tuned + ensemble),roc_auc,0.0298126884341523,0.03547841478809022
qsar-biodeg,363696,CAT (tuned + ensemble),roc_auc,0.07245645039131532,0.05190223321451948
seismic-bumps,363700,CAT (tuned + ensemble),roc_auc,0.21549525988885254,0.21546940055110353
splice,363702,CAT (tuned + ensemble),log_loss,0.09439665247209905,0.11787325716516205
students_dropout_and_academic_success,363704,CAT (tuned + ensemble),log_loss,0.5590578833362478,0.5187559743066118
superconductivity,363705,CAT (tuned + ensemble),rmse,9.253472609280452,9.453056736724061
taiwanese_bankruptcy_prediction,363706,CAT (tuned + ensemble),roc_auc,0.05490660024906602,0.05336246796968391
website_phishing,363707,CAT (tuned + ensemble),log_loss,0.21068219564559593,0.23864730052900188
wine_quality,363708,CAT (tuned + ensemble),rmse,0.5951534449124417,0.6127054536892549
APSFailure,363616,CAT (tuned),roc_auc,0.006103064341314468,0.00956623730003725
Amazon_employee_access,363613,CAT (tuned),roc_auc,0.12528452106978072,0.11321288505669203
Another-Dataset-on-used-Fiat-500,363615,CAT (tuned),rmse,707.2177838410694,734.7366372015457
Bank_Customer_Churn,363619,CAT (tuned),roc_auc,0.12245769645734694,0.1301072629970268
Bioresponse,363620,CAT (tuned),roc_auc,0.1098729967515586,0.1338785661241414
Diabetes130US,363630,CAT (tuned),roc_auc,0.3186467608391993,0.33429096192758134
E-CommereShippingData,363632,CAT (tuned),roc_auc,0.2618363363753117,0.24737809556017198
Fitness_Club,363671,CAT (tuned),roc_auc,0.19659331518451295,0.17841182944647904
Food_Delivery_Time,363672,CAT (tuned),rmse,7.401572407261106,7.377970388397505
GiveMeSomeCredit,363673,CAT (tuned),roc_auc,0.1298343679317311,0.13561976125779096
HR_Analytics_Job_Change_of_Data_Scientists,363679,CAT (tuned),roc_auc,0.18734014775588415,0.19804898345630584
