,category,Amazon,Blood,Credit-G,Diabetes,QSAR-Bio,TaiwanBnk,QSAR-Fish,Airfoil,Concrete,Insurance,Houses,Wine,Anneal,Maternal
metric,,roc_auc,roc_auc,roc_auc,roc_auc,roc_auc,roc_auc,rmse,rmse,rmse,rmse,rmse,rmse,log_loss,log_loss
CAT,ML,0.8721593250339181,0.7107894736842105,0.7927350427350429,0.8335341365461848,0.9265697695387167,0.9451494396014943,0.9169135943553836,1.4743257730979937,4.479989948836688,4089.2521585967734,0.2130197473173677,0.6114031672477722,0.04721400587739318,0.4266560518199411
EBM,ML,0.8359638783550576,0.7082456140350877,0.7912820512820513,0.8425702811244979,0.9342878782414252,0.9423474470734745,0.9456287726391835,1.9173663355495552,4.428036811524854,4180.362861666773,0.23209072755213841,0.645766019821167,0.07275742673584468,0.49959478868894475
GBM,ML,0.8365969588764423,0.6629385964912282,0.7697008547008548,0.8174029451137885,0.9170122984816245,0.9458468244084682,0.9219470233399446,1.48537141921174,4.609973311169731,4235.509729780342,0.21882938874249858,0.6176813840866089,0.07258413190361404,0.45202013687701087
KNN,ML,0.7532467382707516,0.6749999999999999,0.767948717948718,0.8175368139223562,0.9096368160998305,0.8849906600249066,0.9470259228582849,3.2473637575363417,8.986232450905673,5097.162999758122,0.29272222810294224,0.6142804622650146,0.18054473476045046,0.8570291857311769
LR,ML,0.8410809525098126,0.7310526315789474,0.7663675213675214,0.822289156626506,0.8969235762974717,0.9418555417185555,0.9779810035849538,5.424097983642563,8.079074721109023,5575.862768468926,0.3217724260810055,0.7113195657730103,0.10165076885028021,0.7708599588207895
RF,ML,0.8415401376894398,0.6650877192982456,0.7783333333333335,0.8255354752342704,0.9211057813683413,0.9457565379825653,0.938418407690184,1.7727015604892042,5.50373270046845,4520.752203125408,0.23437821466866735,0.6089493036270142,0.05355503214432793,0.44818613791993206
XGB,ML,0.8342104720974085,0.6631578947368421,0.778974358974359,0.8306559571619812,0.9044974212861111,0.9418368617683686,0.9451572737910531,1.4270140038469383,5.037816906376259,4264.447087094856,0.21745863756596343,0.6138439178466797,0.048919027940115434,0.4306064609189078
XT,ML,0.8337630490695447,0.6742105263157895,0.761431623931624,0.8290160642570281,0.9260468135752155,0.947104607721046,0.9233862947299291,1.7070150389205543,5.212221902799439,4372.4788112879405,0.24567426798371325,0.6025343537330627,0.08004472847210596,0.41809839144230426
FASTAI,DL,0.8398263229883798,0.7268421052631578,0.7634188034188035,0.8297858099062918,0.9323763840300069,0.9326338729763387,0.9453682137164233,2.3118411429582046,6.271214783661322,4263.604669891753,0.24252386864646305,0.6561919450759888,0.11476169357130345,0.6515454920065065
