,category,Blood,Credit-G,Diabetes,QSAR-Fish,Airfoil,Concrete,Anneal,Maternal
metric,,roc_auc,roc_auc,roc_auc,rmse,rmse,rmse,log_loss,log_loss
CAT,ML,0.7107894736842105,0.7927350427350429,0.8335341365461848,0.9169135943553836,1.4743257730979937,4.479989948836688,0.04721400587739318,0.4266560518199411
EBM,ML,0.7082456140350877,0.7912820512820513,0.8425702811244979,0.9456287726391835,1.9173663355495552,4.428036811524854,0.07275742673584468,0.49959478868894475
KNN,ML,0.6749999999999999,0.767948717948718,0.8175368139223562,0.9470259228582849,3.2473637575363417,8.986232450905673,0.18054473476045046,0.8570291857311769
LR,ML,0.7310526315789474,0.7663675213675214,0.822289156626506,0.9779810035849538,5.424097983642563,8.079074721109023,0.10165076885028021,0.7708599588207895
REALMLP_GPU,DL,0.7450000000000001,0.7896153846153846,0.8500669344042837,0.902031865224557,1.1261888658361736,5.013467964220634,0.03160915622542364,0.5935180898948357
REALTABPFN-V2.5,Foundation,0.7444298245614036,0.7849145299145298,0.8486947791164658,0.9021697485200404,0.9770421145051592,3.816273829391835,0.01724696349112164,0.418697125047572
LLMAdapter260421-3,,0.7333333333333333,0.7892307692307694,0.8366131191432395,0.9608780512383875,1.1434596384500795,5.281522973414699,0.11682174275976431,0.5762524039707448
MITRA_GPU,,0.7220175438596491,0.7785470085470085,0.8392235609103079,0.9012402148282606,1.0591131919058265,4.329742394231109,0.02933883162895879,0.37773906038340466
TABICLV2,,0.7451754385964913,0.7885897435897437,0.8451807228915663,0.894265712135384,1.015387772184129,3.6729471916148135,0.033034431782149175,0.3542280741307795
TABICL_GPU,,0.7026315789473685,0.7814102564102565,0.838219544846051,0.938418407690184,1.7727015604892042,5.50373270046845,0.042555178904666896,0.3636477547868081
FTTransformer,DL,0.7264912280701754,0.7690598290598291,0.828380187416332,1.2398653728130447,6.214391184581335,12.285288531686305,0.04965282135798628,0.641125529410087
LLMBaseline,LLM,0.7060526315789474,0.7216239316239317,0.6860107095046855,1.6545004849408724,,16.808829044894885,0.05973993730393637,1.3630054951387849
LLMBaselineBidirectional,LLM,0.5364035087719297,0.7358119658119658,0.6022757697456492,1.5432013237974604,,12.97116616811925,0.060722131782951674,1.092054874891659
LLMBaselineBidirectionalPooling,LLM,0.7227192982456141,0.7933333333333333,0.77570281124498,1.1831031419218097,,10.46618175315201,0.043150999889737834,0.6058330426508624
TFMLLM,LLM,0.7235964912280701,0.7832905982905982,0.7998661311914325,1.3124215566110666,5.643586264862749,11.768094580661456,0.059627503831563476,0.6567999024474278
LLMRead260420-LLMRead-GradClip,LLM,0.6974561403508771,,,,1.3195478293323708,,,
