,category,Blood,Credit-G,Diabetes,QSAR-Fish,Airfoil,Concrete,Anneal,Maternal
metric,,roc_auc,roc_auc,roc_auc,rmse,rmse,rmse,log_loss,log_loss
CAT,ML,0.7078070175438597,0.7913675213675214,0.8392235609103079,0.9108357993477078,1.194328921266466,4.349307405056239,0.028524514184980122,0.423541489234404
EBM,ML,0.711140350877193,0.7850854700854701,0.8519410977242302,0.933905919615701,1.8230914958942663,4.378025654572182,0.05042694881558418,0.4953609108924866
KNN,ML,0.7039473684210527,0.7679059829059829,0.8226907630522088,0.9347266281684382,2.226101772909643,6.060376754495909,0.07725414633750916,0.40368014574050903
LR,ML,0.7539473684210526,0.7653418803418803,0.8263721552878179,0.9768729285149236,4.73505463317741,7.9030084866624035,0.05425482988357544,0.7640236616134644
REALMLP_GPU,DL,0.7298245614035088,0.7925213675213675,0.8459170013386881,0.9014784160630552,1.0118973418753692,4.141370860233445,0.029990119859576225,0.40136799216270447
REALTABPFN-V2.5,Foundation,0.7303508771929824,0.7811538461538462,0.8431726907630522,0.8866661964472332,0.870428852383852,3.7665874877665413,0.010615817792250088,0.3801728631098418
LLMAdapter260421-3,,0.7209649122807018,0.7878205128205128,0.8362784471218206,0.9346826211436305,1.0600231138215885,4.735017939160332,0.09531313875056079,0.5554180156882583
FTTransformer,DL,0.7159649122807018,0.7785897435897436,0.8275100401606426,1.0236326869317924,3.1313168599635257,6.2630538483766305,0.03631234268703688,0.5516511974574335
LLMBaseline,LLM,0.7093859649122807,0.7855128205128206,0.7898259705488622,1.0715240938086552,,8.513369474178416,0.05257918951931996,0.8347154882827691
LLMBaselineBidirectional,LLM,0.7167543859649123,0.7714529914529914,0.780053547523427,1.198693462128096,,11.010885041494898,0.04149921316392114,0.5875528912161133
LLMBaselineBidirectionalPooling,LLM,0.71,0.7954700854700855,0.805087014725569,0.9721895091619169,,5.622422770078998,0.03487228718886535,0.44340457822277024
TFMLLM,LLM,0.7256140350877193,0.8016239316239316,0.8200803212851405,1.171575512866934,4.844411018157805,10.335984295391388,0.04940682709229765,0.5963589319886404
LLMRead260420-LLMRead-GradClip,LLM,0.6892982456140351,,,,1.2968593522984828,,,
