,category,Amazon,Blood,Credit-G,Diabetes,QSAR-Bio,QSAR-Fish,Airfoil,Concrete,Anneal,Maternal
metric,,roc_auc,roc_auc,roc_auc,roc_auc,roc_auc,rmse,rmse,rmse,log_loss,log_loss
CAT,ML,0.8721593250339181,0.7107894736842105,0.7927350427350429,0.8335341365461848,0.9265697695387167,0.9169135943553836,1.4743257730979937,4.479989948836688,0.04721400587739318,0.4266560518199411
EBM,ML,0.8359638783550576,0.7082456140350877,0.7912820512820513,0.8425702811244979,0.9342878782414252,0.9456287726391835,1.9173663355495552,4.428036811524854,0.07275742673584468,0.49959478868894475
GBM,ML,0.8365969588764423,0.6629385964912282,0.7697008547008548,0.8174029451137885,0.9170122984816245,0.9219470233399446,1.48537141921174,4.609973311169731,0.07258413190361404,0.45202013687701087
KNN,ML,0.7532467382707516,0.6749999999999999,0.767948717948718,0.8175368139223562,0.9096368160998305,0.9470259228582849,3.2473637575363417,8.986232450905673,0.18054473476045046,0.8570291857311769
LR,ML,0.8410809525098126,0.7310526315789474,0.7663675213675214,0.822289156626506,0.8969235762974717,0.9779810035849538,5.424097983642563,8.079074721109023,0.10165076885028021,0.7708599588207895
RF,ML,0.8415401376894398,0.6650877192982456,0.7783333333333335,0.8255354752342704,0.9211057813683413,0.938418407690184,1.7727015604892042,5.50373270046845,0.05355503214432793,0.44818613791993206
XGB,ML,0.8342104720974085,0.6631578947368421,0.778974358974359,0.8306559571619812,0.9044974212861111,0.9451572737910531,1.4270140038469383,5.037816906376259,0.048919027940115434,0.4306064609189078
XT,ML,0.8337630490695447,0.6742105263157895,0.761431623931624,0.8290160642570281,0.9260468135752155,0.9233862947299291,1.7070150389205543,5.212221902799439,0.08004472847210596,0.41809839144230426
FASTAI,DL,0.8398263229883798,0.7268421052631578,0.7634188034188035,0.8297858099062918,0.9323763840300069,0.9453682137164233,2.3118411429582046,6.271214783661322,0.11476169357130345,0.6515454920065065
MNCA_GPU,DL,0.8403716101939878,0.745438596491228,0.7592307692307692,0.838219544846051,0.9254156598261621,0.9079065375057965,1.453374096711406,5.113994006479045,0.10373663359923335,0.4198462235434901
NN_TORCH,DL,0.8344660874870385,0.7416666666666667,0.7799572649572648,0.8070281124497993,0.9181303422656616,0.9567096116016571,1.4743240449401513,4.489181374302094,0.057056382624834076,0.5987640807044072
REALMLP_GPU,DL,0.8442761064417845,0.7450000000000001,0.7896153846153846,0.8500669344042837,0.9322321203159376,0.902031865224557,1.1261888658361736,5.013467964220634,0.03160915622542364,0.5935180898948357
TABM_GPU,DL,0.8338184772487696,0.7017543859649122,0.7811965811965812,0.8207496653279786,0.9301042305334151,0.9275436468576879,1.0877995905350197,4.4997519026239905,0.046598555490574164,0.5241959021987332
XRFM_GPU,DL,0.852536750189732,0.673859649122807,0.7677350427350428,0.817570281124498,0.9311501424604177,0.8957594416323091,1.5604451878710464,5.4829799128889,0.0351097915833094,0.40111243804193053
REALTABPFN-V2.5,Foundation,0.8393699822506823,0.7444298245614036,0.7849145299145298,0.8486947791164658,0.9366321635950517,0.9021697485200404,0.9770421145051592,3.816273829391835,0.01724696349112164,0.418697125047572
TABDPT_GPU,Foundation,0.8434346128914413,0.7282894736842105,0.7649572649572649,0.8443105756358769,0.9305730876041405,0.9032009771392325,0.9921872891198709,4.194899538096949,0.0676078146117423,0.3466039316921292
TABPFNV2_GPU,Foundation,0.8415401376894398,0.7386842105263158,0.7721794871794871,0.8485943775100402,0.9270025606809248,0.9033054900056293,0.9686146785218831,3.9696752157329884,0.018732650610432378,0.4251002550137872
MITRA_GPU,,,0.7220175438596491,0.7785470085470085,0.8392235609103079,0.9279763407508927,0.9012402148282606,1.0591131919058265,4.329742394231109,0.02933883162895879,0.37773906038340466
TABICLV2,,0.8503310007884486,0.7451754385964913,0.7885897435897437,0.8451807228915663,0.9355141198110145,0.894265712135384,1.015387772184129,3.6729471916148135,0.033034431782149175,0.3542280741307795
TABICL_GPU,,0.8515933179907724,0.7026315789473685,0.7814102564102565,0.838219544846051,0.9387239874490569,0.938418407690184,1.7727015604892042,5.50373270046845,0.042555178904666896,0.3636477547868081
FTTransformer,DL,0.844395419249215,0.7282456140350877,0.7659829059829059,0.8309236947791164,0.9135139034154436,1.3244642634011057,4.851345087024553,9.678963600447641,0.038426533029495565,0.6183053027301509
TFMLLM,Foundation,0.655996498722615,0.7235964912280701,0.7832905982905982,0.7998661311914325,0.9001695098640314,1.3124215566110666,5.643586264862749,11.768094580661456,0.059627503831563476,0.6567999024474278
