,category,Blood,Airfoil
metric,,roc_auc,rmse
CAT,ML,0.7050877192982457,1.1912702718003423
EBM,ML,0.720701754385965,1.8751122184601097
KNN,ML,0.6987719298245614,2.553026758666722
LR,ML,0.748859649122807,4.7521850275766075
REALMLP_GPU,DL,0.7248245614035088,1.0574588562226745
REALTABPFN-V2.5,Foundation,0.7272368421052632,0.904754868538982
FTTransformer,DL,0.7185087719298245,2.8391759048295855
LLMBaseline,LLM,0.710701754385965,
LLMBaselineBidirectional,LLM,0.7194736842105263,
LLMBaselineBidirectionalPooling,LLM,0.6857017543859649,
TFMLLM,LLM,0.7235964912280701,4.8481937905713535
LLMRead260420-LLMRead-GradClip,LLM,0.7014035087719298,1.2733673063294226
