,category,Blood,Airfoil
metric,,roc_auc,rmse
CAT,ML,0.7050877192982457,1.1912702718003423
EBM,ML,0.720701754385965,1.8751122184601097
GBM,ML,0.7157894736842105,1.387637675978781
KNN,ML,0.6987719298245614,2.553026758666722
LR,ML,0.748859649122807,4.7521850275766075
RF,ML,0.6749122807017544,1.7727015604892042
XGB,ML,0.7040350877192982,1.3029304493781608
XT,ML,0.6811403508771929,1.7070150389205543
FASTAI,DL,0.7437719298245614,1.5302536185802997
MNCA_GPU,DL,0.6900877192982456,1.40208685318452
NN_TORCH,DL,0.7418421052631579,1.24910343833217
REALMLP_GPU,DL,0.7248245614035088,1.0574588562226745
TABM_GPU,DL,0.7150877192982457,0.9851177684571369
XRFM_GPU,DL,0.7228947368421053,1.1778388854329223
REALTABPFN-V2.5,Foundation,0.7272368421052632,0.904754868538982
TABDPT_GPU,Foundation,0.7281140350877193,0.9867752054046761
TABPFNV2_GPU,Foundation,0.7240350877192983,0.9659417311494658
FTTransformer,DL,0.7185087719298245,2.8391759048295855
LLMBaseline,LLM,0.710701754385965,
LLMBaselineBidirectional,LLM,0.7194736842105263,
LLMBaselineBidirectionalPooling,LLM,0.6857017543859649,
TFMLLM,LLM,0.7235964912280701,4.8481937905713535
LLMRead260420-LLMRead-GradClip,LLM,0.7014035087719298,1.2733673063294226
