method,elo,elo+,elo-,rank,winrate,improvability,improvability+,improvability-,mrr,rank=1_count,rank=2_count,rank=3_count,rank>3_count,time_train_s,time_infer_s,time_train_s_per_1K,time_infer_s_per_1K,normalized-error,normalized-error-task,imputed,median_rank,median_improvability,median_loss_rescaled,median_metric_error,median_time_train_s,median_time_infer_s,median_time_train_s_per_1K,median_time_infer_s_per_1K,median_normalized-error,median_normalized-error-task,median_imputed,method_type,method_subtype,config_type,ta_name,ta_suite
LLMSlot260508-LS-qwen-bidir-num_emb-pwl (tuned + ensemble),1316.8,134.0,83.3,43.6,0.5653061,0.11547993505067707,0.045019142756257194,0.05115311960286108,0.02620371389144856,0.0,0.0,0.0,10.0,12930.199568486214,147.94506204128265,16723.91027813952,399.23816594900165,0.8225581544056334,0.8225581544056334,0.0,42.0,0.12018072935202095,0.044492964860508646,0.6870898703430891,11782.577460885048,148.80479061603546,15826.16174909892,393.473223538366,0.9383133739606171,0.9383133739606171,0.0,hpo,tuned_ensemble,LLMSlot260508-LS-qwen-bidir-num_emb-pwl,LLMSlot260508-LS-qwen-bidir-num_emb-pwl,260508-LS-qwen-bidir-num_emb-pwl
LLMSlot260506-LS-qwen-bidir (tuned),1315.8,105.2,125.0,43.7,0.56428576,0.12296227877129762,0.06985694133188494,0.05457143285394453,0.02851030472545038,0.0,0.0,0.0,10.0,20882.022293162347,28.097065091133118,28522.132229334336,76.44850325442583,0.8336079086530116,0.8336079086530116,0.0,46.0,0.09674185003676616,0.05492402812134281,0.7367380204561924,19868.71787083149,27.121071100234985,29907.94457387059,79.82247726548377,0.9189129367103566,0.9189129367103566,0.0,hpo,tuned,LLMSlot260506-LS-qwen-bidir,LLMSlot260506-LS-qwen-bidir,260506-LS-qwen-bidir
LLMSlot260508-LS-qwen-structured-num_emb-pwl (tuned + ensemble),1315.3,154.2,114.3,43.75,0.56377554,0.1175627395885042,0.04365871767989597,0.04960758337981856,0.02955391913956158,0.0,0.0,0.0,10.0,13151.42895359993,122.58418099880218,16991.546480110097,338.9780708542564,0.8011106392063544,0.8011106392063544,0.0,40.0,0.11704207599605615,0.05115784080142685,0.6954153710322695,12387.94082069397,123.50944828987122,15955.93867626824,362.0793244415929,0.8658378953718966,0.8658378953718966,0.0,hpo,tuned_ensemble,LLMSlot260508-LS-qwen-structured-num_emb-pwl,LLMSlot260508-LS-qwen-structured-num_emb-pwl,260508-LS-qwen-structured-num_emb-pwl
XT (tuned),1313.9,175.2,160.6,43.9,0.56224495,0.15026822325959027,0.10552853643395432,0.08394199237853224,0.03587075243822717,0.0,0.0,0.0,10.0,630.093171787262,0.11433539390563965,867.3309536931581,0.31342253824985955,0.7448910642247739,0.7448910642247739,0.0,37.0,0.11498457518401872,0.06310325494615195,0.6600625930251222,624.3105140924454,0.123038649559021,820.9103581363925,0.33416185491110395,0.8113689791551725,0.8113689791551725,0.0,hpo,tuned,XT,ExtraTrees,tabarena-2025-06-12
LLMSlot260508-LS-qwen-causal-num_emb-pwl (default),1309.0,148.5,120.7,44.4,0.55714285,0.12202780095800558,0.05007798301232086,0.06133280040426152,0.03052063605469178,0.0,0.0,0.0,10.0,1143.2149714946747,18.694564938545227,1484.6700779082628,51.512061464277664,0.80000816284705,0.80000816284705,0.0,48.0,0.11209481090435358,0.03889875092154798,0.698939581606336,1044.8807533979416,18.669724106788635,1364.6758053488336,46.25896253821456,0.9501801471248851,0.9501801471248851,0.0,config,default,LLMSlot260508-LS-qwen-causal-num_emb-pwl,LLMSlot260508-LS-qwen-causal-num_emb-pwl,260508-LS-qwen-causal-num_emb-pwl
LLMSlot260506-LS-qwen-structured (default),1307.1,160.6,132.1,44.6,0.55510205,0.14027452437133495,0.07047741531543669,0.06566151549093321,0.12066379517834243,1.0,0.0,0.0,9.0,1709.2322292089461,19.456988358497618,2276.6010889048353,55.85395191088844,0.8110274138312048,0.8110274138312048,0.0,43.5,0.10436174952086946,0.06634476667885131,0.7486249327587762,1507.523141026497,16.734883189201355,2227.013125219036,44.26806617483734,0.9040467494383413,0.9040467494383413,0.0,config,default,LLMSlot260506-LS-qwen-structured,LLMSlot260506-LS-qwen-structured,260506-LS-qwen-structured
XT (tuned + ensemble),1306.6,171.1,142.2,44.65,0.5545919,0.14596025886259373,0.09751727714641395,0.0785312137548457,0.03271115164038395,0.0,0.0,0.0,10.0,630.093171787262,0.8253463745117188,867.3309536931581,2.2950919646227295,0.7951528121177447,0.7951528121177447,0.0,42.75,0.10582834520137258,0.06596029096155946,0.6523439369303805,624.3105140924454,0.8942171335220337,820.9103581363925,1.909535746802462,0.9549180327868825,0.9549180327868825,0.0,hpo,tuned_ensemble,XT,ExtraTrees,tabarena-2025-06-12
LLMSlot260506-LS-qwen-causal (default),1298.4,153.0,143.1,45.5,0.54591846,0.1367419175369146,0.07200278421775236,0.06321575987930697,0.02821379226409342,0.0,0.0,0.0,10.0,1637.5861299276353,19.110824751853944,2158.883651402906,53.214686272880684,0.804696057421902,0.804696057421902,0.0,45.0,0.10274917130149197,0.06069229734937836,0.7704775298706257,1406.649975180626,17.62049901485443,1828.8708501486344,45.293940051048125,0.8561484686094455,0.8561484686094455,0.0,config,default,LLMSlot260506-LS-qwen-causal,LLMSlot260506-LS-qwen-causal,260506-LS-qwen-causal
GBM (tuned),1298.4,73.8,68.5,45.5,0.54591835,0.12466796025058587,0.06383499650056763,0.057798112110393374,0.023153600742724243,0.0,0.0,0.0,10.0,1068.9766187667847,0.37833476066589355,1438.2298160973758,0.8548367496347685,0.8698590473863282,0.8698590473863282,0.0,41.5,0.11793032511369833,0.06582448035127508,0.6745247387616987,943.7310781478882,0.18095648288726807,1466.3735025411343,0.562486732247516,0.8912049380758548,0.8912049380758548,0.0,hpo,tuned,GBM,LightGBM,tabarena-2025-06-12
LLMSlot260514-LS-qwen-structured_v2-num_emb-pwl (tuned),1289.7,150.9,103.3,46.4,0.5367347,0.11688903925916713,0.04265025224921143,0.04519111590981863,0.029144465726574708,0.0,0.0,0.0,10.0,12489.145654177666,15.69119348526001,16200.619306386023,42.2782430616968,0.8010150103693402,0.8010150103693402,0.0,48.0,0.11873754972011591,0.05999671005693503,0.6881681490999548,11704.850839018822,15.418721675872803,16136.159956567964,41.45131392248368,0.8993476658286979,0.8993476658286979,0.0,hpo,tuned,LLMSlot260514-LS-qwen-structured_v2-num_emb-pwl,LLMSlot260514-LS-qwen-structured_v2-num_emb-pwl,260514-LS-qwen-structured_v2-num_emb-pwl
