method,elo,elo+,elo-,rank,winrate,improvability,improvability+,improvability-,mrr,rank=1_count,rank=2_count,rank=3_count,rank>3_count,time_train_s,time_infer_s,time_train_s_per_1K,time_infer_s_per_1K,normalized-error,normalized-error-task,imputed,median_rank,median_improvability,median_loss_rescaled,median_metric_error,median_time_train_s,median_time_infer_s,median_time_train_s_per_1K,median_time_infer_s_per_1K,median_normalized-error,median_normalized-error-task,median_imputed,method_type,method_subtype,config_type,ta_name,ta_suite
TABDPT_GPU (tuned + ensemble),1513.4,293.4,163.7,20.125,0.7609375,0.07046308255437915,0.028345136401092277,0.030132715216393248,0.08534924197230756,0.0,0.0,0.0,8.0,7697.159933030605,108.67427277565002,10818.583621206426,350.0097460874168,0.5025466529825651,0.5025466529825651,0.0,12.0,0.07815027592513996,0.022159805602048742,0.584952778152672,7332.460351467133,123.36780881881714,10436.33914532647,382.0410796608709,0.4572125503749343,0.4572125503749343,0.0,hpo,tuned_ensemble,TABDPT_GPU,TabDPT_GPU,tabarena-2025-10-20
MITRA_GPU (default),1487.0,213.6,108.1,21.9375,0.73828125,0.09108302260295056,0.036375356894437966,0.04384123963453161,0.08607996908858452,0.0,0.0,1.0,7.0,80.26132023334503,0.9364745020866394,116.53678053010628,2.7783764218443325,0.5570564544303304,0.5570564544303304,0.0,19.5,0.10158571060845673,0.04346384047761577,0.5896113354843058,75.9974969625473,0.8869123458862305,111.7982703123563,2.7411351613048733,0.5425849097121465,0.5425849097121465,0.0,config,default,MITRA_GPU,Mitra_GPU,tabarena-2025-09-03
TABDPT_GPU (tuned),1486.2,237.4,189.1,22.0,0.7375,0.07826842927149469,0.03059183544225945,0.035924869730882256,0.06758715442698819,0.0,0.0,0.0,8.0,7697.159933030605,10.146091014146805,10818.583621206426,28.89903449251492,0.5222754605583227,0.5222754605583227,0.0,15.5,0.08113832628977613,0.02599399441341103,0.5858094905865834,7332.460351467133,12.011841773986816,10436.33914532647,25.964847086422953,0.47979998978256727,0.47979998978256727,0.0,hpo,tuned,TABDPT_GPU,TabDPT_GPU,tabarena-2025-10-20
TABDPT_GPU (default),1484.4,249.5,182.8,22.125,0.7359375,0.08107781042067981,0.03287689398477717,0.03563481455615773,0.06329694366666197,0.0,0.0,0.0,8.0,35.024574279785156,16.405058830976486,51.160469347129826,48.04756454395611,0.5296052881946732,0.5296052881946732,0.0,14.5,0.07709511803613833,0.03207991437934825,0.587455751727511,37.048486828804016,16.126458764076233,53.60491246288694,46.69993896811008,0.5116394469795283,0.5116394469795283,0.0,config,default,TABDPT_GPU,TabDPT_GPU,tabarena-2025-10-20
REALMLP_GPU (default),1475.6,204.8,143.4,22.75,0.728125,0.09730114794481066,0.056705567248295716,0.05765124790050039,0.10675247445721583,0.0,0.0,1.0,7.0,21.020693451166153,3.630905866622925,29.442029201387268,10.563402550237129,0.5657805847675472,0.5657805847675472,0.0,19.5,0.05106000833894597,0.043375145613093795,0.5785159326122784,18.680655002593994,3.4691321849823,28.079046296088457,10.021069825735625,0.5574602392521812,0.5574602392521812,0.0,config,default,REALMLP_GPU,RealMLP_GPU,tabarena-2025-09-03
TABPFNV2_GPU (default),1470.4,279.6,156.0,23.125,0.7234375,0.07142661586865043,0.020490385392635938,0.024325382505084397,0.08413652436020057,0.0,0.0,0.0,8.0,7.473339349031448,0.2748090326786041,10.613602478282395,0.7798293341524697,0.5029421228125834,0.5029421228125834,0.0,14.5,0.06879858091447488,0.02398074018164147,0.5823106397396567,7.267871975898743,0.25510716438293457,9.931967987313012,0.8050241836478208,0.3934045524050197,0.3934045524050197,0.0,config,default,TABPFNV2_GPU,TabPFNv2_GPU,tabarena-2025-06-12
CAT (tuned + ensemble),1441.0,185.4,119.8,25.3125,0.69609374,0.1028124840926085,0.05485690277898812,0.05361922730483267,0.061192393457317674,0.0,0.0,0.0,8.0,4128.4667401611805,0.5320057272911072,5258.167760580894,1.341575231286159,0.6283830253261192,0.6283830253261192,0.0,24.0,0.07435289655179461,0.05683857767281612,0.601514390901924,1415.956305027008,0.21697962284088135,2427.259889222902,0.7366264095046604,0.6713214161392622,0.6713214161392622,0.0,hpo,tuned_ensemble,CAT,CatBoost,tabarena-2025-06-12
TABPFNV2_GPU (tuned),1408.0,211.7,134.5,27.875,0.6640625,0.08376596293275772,0.02173654876229504,0.024201593125057763,0.056326780671538734,0.0,0.0,0.0,8.0,3431.8800100684166,0.2509419918060303,4553.904786274765,0.7210294997443222,0.6279407377288293,0.6279407377288293,0.0,24.0,0.0917975848205228,0.02971509013566574,0.5926337775674022,3036.063897371292,0.20074331760406494,4560.817509007882,0.4919661850331314,0.6060059017675858,0.6060059017675858,0.0,hpo,tuned,TABPFNV2_GPU,TabPFNv2_GPU,tabarena-2025-06-12
TABM_GPU (tuned + ensemble),1397.0,174.6,121.3,28.75,0.653125,0.09981135637758334,0.03395736789156115,0.037644300748053264,0.04796773350861226,0.0,0.0,0.0,8.0,5053.830103933811,0.7139320373535156,6352.437404187182,2.0820906097563694,0.6651432017562637,0.6651432017562637,0.0,23.5,0.10344616565443632,0.0431001139738497,0.6003701946499322,3354.6058505773544,0.6433289051055908,4322.161326281856,1.6302056597837213,0.6430931914742422,0.6430931914742422,0.0,hpo,tuned_ensemble,TABM_GPU,TabM_GPU,tabarena-2025-06-12
CAT (tuned),1395.5,158.5,118.3,28.875,0.6515625,0.10794192017223707,0.05426170367958914,0.05375787974789261,0.04713766029337037,0.0,0.0,0.0,8.0,4128.4667401611805,0.049930304288864136,5258.167760580894,0.1279571679852839,0.6597085692883367,0.6597085692883367,0.0,29.0,0.09531457083414885,0.055954454698454004,0.6059811481633963,1415.956305027008,0.027538418769836426,2427.259889222902,0.06998279884657166,0.6827479070951764,0.6827479070951764,0.0,hpo,tuned,CAT,CatBoost,tabarena-2025-06-12
