method,elo,elo+,elo-,rank,winrate,improvability,improvability+,improvability-,mrr,rank=1_count,rank=2_count,rank=3_count,rank>3_count,time_train_s,time_infer_s,time_train_s_per_1K,time_infer_s_per_1K,normalized-error,normalized-error-task,imputed,median_rank,median_improvability,median_loss_rescaled,median_metric_error,median_time_train_s,median_time_infer_s,median_time_train_s_per_1K,median_time_infer_s_per_1K,median_normalized-error,median_normalized-error-task,median_imputed,method_type,method_subtype,config_type,ta_name,ta_suite
REALMLP_GPU (default),1453.8,192.8,149.8,19.25,0.7192308,0.16375357628034018,0.15837353143430807,0.12162998752345167,0.11544799498746867,0.0,0.0,1.0,7.0,20.812303364276886,3.6257391273975372,30.40783172782543,11.024775717650483,0.5692818992001749,0.5692818992001749,0.0,15.5,0.03449701051778781,0.09454434998150485,0.5785159326122784,17.86536169052124,3.4691321849823,28.37471838264276,10.598976988379242,0.5147222236982782,0.5147222236982782,0.0,config,default,REALMLP_GPU,RealMLP_GPU,tabarena-2025-09-03
MITRA_GPU (default),1444.7,206.9,92.7,19.8125,0.71057695,0.1600047042740126,0.14906948053706814,0.0991057822067346,0.08917495875942083,0.0,0.0,1.0,7.0,85.73912581801414,1.0061384737491608,131.11709097052886,3.140662995128171,0.6383846732700177,0.6383846732700177,0.0,19.0,0.10218573771883044,0.09322177117327529,0.5896113354843058,75.9974969625473,0.8880072832107544,126.18292497250638,3.03968373649069,0.6887242119131309,0.6887242119131309,0.0,config,default,MITRA_GPU,Mitra_GPU,tabarena-2025-09-03
"AutoGluon 1.4 (best, 4h)",1439.7,142.2,98.7,20.125,0.70576924,0.16645158522826115,0.18640834218120317,0.11993650716851309,0.06217537373684058,0.0,0.0,0.0,8.0,6079.679635256529,1.9730038046836853,9130.126284711007,5.169403321908115,0.6357185385106063,0.6357185385106063,0.0,19.5,0.05608434076848884,0.12058482367785933,0.587469214777788,3975.37906062603,0.6434314250946045,7114.786387524308,2.267592727813545,0.6016057300304242,0.6016057300304242,0.0,baseline,,,AutoGluon_v140_bq_4h8c,tabarena-2025-11-01
TABDPT_GPU (tuned),1429.8,190.3,152.3,20.75,0.6961538,0.15347490422857435,0.157497356531427,0.09777405406699696,0.06650216120931131,0.0,0.0,0.0,8.0,7451.471998631954,10.760749161243439,11052.248191131537,33.2467935621816,0.614178195381939,0.614178195381939,0.0,18.5,0.09386615473813431,0.08831844469420261,0.5858094905865834,7248.201301217079,12.011841773986816,10634.160357980394,32.07084467259658,0.654447776152933,0.654447776152933,0.0,hpo,tuned,TABDPT_GPU,TabDPT_GPU,tabarena-2025-10-20
CAT (tuned + ensemble),1396.2,146.8,130.0,22.9375,0.6625,0.17236902989458805,0.14420186422235962,0.11029853403681067,0.07002515537935328,0.0,0.0,0.0,8.0,6117.137579381466,0.6367749273777008,8664.457299629648,1.715266187931007,0.7025728986675744,0.7025728986675744,0.0,21.5,0.12250930455129311,0.09196158860273261,0.601514390901924,1621.16852247715,0.5078346729278564,2757.5364606381845,1.2977171476278873,0.7166626748143997,0.7166626748143997,0.0,hpo,tuned_ensemble,CAT,CatBoost,tabarena-2025-06-12
TABPFNV2_GPU (tuned),1382.2,212.0,127.7,23.875,0.64807695,0.14080601882241178,0.11954325542166849,0.07474382752277535,0.0679571026240533,0.0,0.0,0.0,8.0,3472.2838712334633,0.2522808015346527,4723.394618215756,0.7441110754345772,0.6859460967974187,0.6859460967974187,0.0,23.0,0.1024607743644187,0.11043131305478963,0.5926337775674022,3036.063897371292,0.20074331760406494,4601.854970218943,0.5022884452182258,0.7305090648092039,0.7305090648092039,0.0,hpo,tuned,TABPFNV2_GPU,TabPFNv2_GPU,tabarena-2025-06-12
TABDPT_GPU (default),1367.6,211.2,161.0,24.875,0.63269234,0.17787012089096094,0.19731848949241865,0.11744411151849701,0.05675614761915072,0.0,0.0,0.0,8.0,35.78993463516235,16.389777332544327,54.58661217301207,50.149691509904166,0.671760153980954,0.671760153980954,0.0,16.0,0.10942823135035529,0.1300156372076668,0.587455751727511,37.048486828804016,16.126458764076233,55.23154278914798,49.43726927160279,0.6336155905563615,0.6336155905563615,0.0,config,default,TABDPT_GPU,TabDPT_GPU,tabarena-2025-10-20
XRFM_GPU (tuned),1350.5,124.3,88.3,26.0625,0.6144231,0.16753178601248614,0.13112479543145028,0.09708289812163942,0.048726004489647305,0.0,0.0,0.0,8.0,1854.028525620699,0.12778088450431824,2878.389711742556,0.4130470552547405,0.7703165824528397,0.7703165824528397,0.0,28.0,0.1058127100148678,0.08595618750629982,0.5911357016944887,1905.7206094264984,0.04667949676513672,2859.060244138649,0.1348724752337395,0.7952397224992807,0.7952397224992807,0.0,hpo,tuned,XRFM_GPU,xRFM_GPU,tabarena-2025-09-03
CAT (tuned),1349.6,147.4,119.8,26.125,0.61346155,0.18272032669714672,0.14670910436310036,0.10940397291030118,0.04480510814587685,0.0,0.0,0.0,8.0,6117.137579381466,0.06455770134925842,8664.457299629648,0.18031413168045757,0.7692380593146477,0.7692380593146477,0.0,24.0,0.12548112042358373,0.10467344987401178,0.6059811481633963,1621.16852247715,0.03718447685241699,2757.5364606381845,0.12084090987955604,0.7691212923746881,0.7691212923746881,0.0,hpo,tuned,CAT,CatBoost,tabarena-2025-06-12
TABM_GPU (tuned + ensemble),1337.2,198.4,156.8,27.0,0.6,0.174454692160215,0.1575251965260692,0.1076766290368757,0.05158744033744034,0.0,0.0,0.0,8.0,5735.186969190836,0.6868453323841095,7852.199740666916,2.0851148447819177,0.7258546521983177,0.7258546521983177,0.0,25.5,0.13479148641118566,0.12047946166300655,0.6003701946499322,3354.6058505773544,0.6086723804473877,4322.161326281856,1.6302056597837213,0.7670170950558037,0.7670170950558037,0.0,hpo,tuned_ensemble,TABM_GPU,TabM_GPU,tabarena-2025-06-12
