dataset,tid,metric,metric_error,metric_error_val,batch_size,lora_lr,lora_rank,lr,token_dim,num_epochs,lora_alpha,lora_dropout,weight_decay
blood-transfusion-service-center,363621,roc_auc,0.255,0.2305419268510258,512,8.17147891511587e-05,16,0.00018639589635730596,32.0,,,,
QSAR_fish_toxicity,363698,rmse,1.4433905066203603,1.4551357553255937,512,8.17147891511587e-05,16,0.00018639589635730596,32.0,,,,
website_phishing,363707,log_loss,0.28681461845807366,0.32645182477904466,512,8.17147891511587e-05,16,0.00018639589635730596,32.0,,,,
concrete_compressive_strength,363625,rmse,14.013936915869113,15.030910007813986,512,8.17147891511587e-05,16,0.00018639589635730596,32.0,,,,
credit-g,363626,roc_auc,0.2058974358974358,0.24437231759656652,512,8.17147891511587e-05,16,0.00018639589635730596,32.0,,,,
Fitness_Club,363671,roc_auc,0.19487295825771334,0.17043255090229426,512,8.17147891511587e-05,16,0.00018639589635730596,32.0,,,,
diabetes,363629,roc_auc,0.17858099062918342,0.17941364462087073,512,8.17147891511587e-05,16,0.00018639589635730596,32.0,,,,
healthcare_insurance_expenses,363675,rmse,6404.0076805809185,8847.640178699568,512,8.17147891511587e-05,16,0.00018639589635730596,32.0,,,,
maternal_health_risk,363685,log_loss,0.6530663136653663,0.6524656553924364,512,8.17147891511587e-05,16,0.00018639589635730596,32.0,,,,
qsar-biodeg,363696,roc_auc,0.09719767735420348,0.10874190732523448,512,8.17147891511587e-05,16,0.00018639589635730596,32.0,,,,
anneal,363614,log_loss,0.23008704623869122,0.27323881093657276,512,8.17147891511587e-05,16,0.00018639589635730596,32.0,,,,
blood-transfusion-service-center,363621,roc_auc,0.26140350877192975,0.24094558429973234,512,0.00027622648017994964,8,0.00019351140885595286,64.0,,,,
QSAR_fish_toxicity,363698,rmse,1.4114578634467236,1.4166323537643246,512,0.00027622648017994964,8,0.00019351140885595286,64.0,,,,
website_phishing,363707,log_loss,0.2819750319748631,0.3019291519193287,512,0.00027622648017994964,8,0.00019351140885595286,64.0,,,,
concrete_compressive_strength,363625,rmse,15.366468307600536,16.252312088620698,512,0.00027622648017994964,8,0.00019351140885595286,64.0,,,,
credit-g,363626,roc_auc,0.20692307692307688,0.236480686695279,512,0.00027622648017994964,8,0.00019351140885595286,64.0,,,,
Fitness_Club,363671,roc_auc,0.1972928009679371,0.17418736598417428,512,0.00027622648017994964,8,0.00019351140885595286,64.0,,,,
diabetes,363629,roc_auc,0.17583668005354758,0.18563715266097014,512,0.00027622648017994964,8,0.00019351140885595286,64.0,,,,
healthcare_insurance_expenses,363675,rmse,5951.098124455748,7954.772647539201,512,0.00027622648017994964,8,0.00019351140885595286,64.0,,,,
maternal_health_risk,363685,log_loss,0.7373298480878131,0.7504809314595785,512,0.00027622648017994964,8,0.00019351140885595286,64.0,,,,
